Original Name from Recipes,"Corresponding FNDDS Name ""Main Food Description""",Same or Not,ingredient_id,Database
"""wasabi paste""","""Wasabi paste""",Same,75534550,FNDDS_nutrients
"""wasabi""",,,171183,MyFood
"""water chestnuts""",,,170066,MyFood
"""water""",,,Not necessary,
"""watermelon""",,,167765,MyFood
"""white bread""",,,174924,MyFood
"""white button mushrooms""",,,11260,FNDDS_ingredients
"""white fish fillets""",,,26158100,FNDDS_nutrients
"""white grapes""",,,174682,MyFood
"""white miso paste""",,,41420110,FNDDS_nutrients
"""white onion - large""",,,11283,FNDDS_ingredients
"""white onion - medium""",,,11283,FNDDS_ingredients
"""white onion""",,,11283,FNDDS_ingredients
"""white or button mushrooms""",,,11260,FNDDS_ingredients
"""white pepper""",,,170933,MyFood
"""white rice - cooked""",,,56205001,FNDDS_nutrients
"""white rice""",,,20044,FNDDS_nutrients
"""white sesame seeds""",,,170151,MyFood
"""white sugar""",,,91101010,FNDDS_nutrients
"""white vinegar""",,,2053,FNDDS_ingredients
"""white wine (dry)""",,,174837,MyFood
"""white wine""",,,174837,MyFood
"""whole black peppercorns""",,,2030,FNDDS_ingredients
"""whole grain bread""",,,18064,FNDDS_ingredients
"""whole grain tortilla""",,,28295,FNDDS_ingredients
"""whole milk ricotta cheese""",,,14201500,FNDDS_nutrients
"""whole milk""",,,171265,MyFood
"""wild rice""",,,169726,MyFood
"""wonton wrappers""",,,172802,MyFood
"""wood ear mushrooms""",,,Not necessary,
"""wooden skewers""","""wooden skewers""",Same,Not necessary,
"""worcestershire sauce""","""Worcestershire sauce""",Same,41420450,FNDDS_nutrients
"""yakisoba noodles""",,,168906,MyFood
"""yakitori skewers""",,,Not necessary,
"""yellow bell pepper""",,,11334,FNDDS_ingredients
"""yellow miso paste""","""Miso""",,Not necessary,
"""yellow mustard""",,,2046,FNDDS_ingredients
"""yellow onion - large""",,,11283,FNDDS_ingredients
"""yellow onion - medium""",,,11283,FNDDS_ingredients
"""yellow onion""",,,11283,FNDDS_ingredients
"""yellow onions - large""",,,11283,FNDDS_ingredients
"""yellow onions""",,,11283,FNDDS_ingredients
"""yellow raisins""","""Raisins""",,168164,MyFood
"""yellow squash - medium""",,,170487,MyFood
"""yellow squash""",,,95233020,FNDDS_nutrients
"""yuzu kosho paste""",,,67,custom_table
"""ziti pasta""",,,20120,FNDDS_ingredients
"""zucchini - medium""",,,11480,FNDDS_ingredients
"""zucchini flowers""",,,11480,FNDDS_ingredients
"""zucchini""",,,11480,FNDDS_ingredients
